query_id,query_text,alpha,rank,filename,score,relevance_proxy
img_eval_001,football player,0.0,1,Lionel_Messi.jpg,0.261687,not_relevant
img_eval_001,football player,0.0,2,gettyimages-2219558287-612x612.jpg,0.258922,not_relevant
img_eval_001,football player,0.0,3,000_Par1269498-2048x1443.jpg,0.251031,relevant
img_eval_001,football player,0.0,4,984092829.jpg,0.240771,not_relevant
img_eval_001,football player,0.0,5,989851184.jpg,0.240580,not_relevant
img_eval_001,football player,0.2,1,Lionel_Messi.jpg,0.261687,not_relevant
img_eval_001,football player,0.2,2,gettyimages-2219558287-612x612.jpg,0.258922,not_relevant
img_eval_001,football player,0.2,3,000_Par1269498-2048x1443.jpg,0.251031,relevant
img_eval_001,football player,0.2,4,984092829.jpg,0.240771,not_relevant
img_eval_001,football player,0.2,5,989851184.jpg,0.240580,not_relevant
img_eval_001,football player,0.3,1,Lionel_Messi.jpg,0.261687,not_relevant
img_eval_001,football player,0.3,2,gettyimages-2219558287-612x612.jpg,0.258922,not_relevant
img_eval_001,football player,0.3,3,000_Par1269498-2048x1443.jpg,0.251031,relevant
img_eval_001,football player,0.3,4,984092829.jpg,0.240771,not_relevant
img_eval_001,football player,0.3,5,989851184.jpg,0.240580,not_relevant
img_eval_001,football player,0.5,1,Lionel_Messi.jpg,0.261687,not_relevant
img_eval_001,football player,0.5,2,gettyimages-2219558287-612x612.jpg,0.258922,not_relevant
img_eval_001,football player,0.5,3,000_Par1269498-2048x1443.jpg,0.251031,relevant
img_eval_001,football player,0.5,4,984092829.jpg,0.240771,not_relevant
img_eval_001,football player,0.5,5,989851184.jpg,0.240580,not_relevant
img_eval_002,portrait man,0.0,1,98756125.jpg,0.270049,not_relevant
img_eval_002,portrait man,0.0,2,89779839.jpg,0.269365,not_relevant
img_eval_002,portrait man,0.0,3,407869068_10161463377388069_270481176185833064_n2.jpg,0.266338,relevant
img_eval_002,portrait man,0.0,4,997338199.jpg,0.263127,not_relevant
img_eval_002,portrait man,0.0,5,98438433.jpg,0.262620,not_relevant
img_eval_002,portrait man,0.2,1,98756125.jpg,0.270049,not_relevant
img_eval_002,portrait man,0.2,2,89779839.jpg,0.269365,not_relevant
img_eval_002,portrait man,0.2,3,407869068_10161463377388069_270481176185833064_n2.jpg,0.266338,relevant
img_eval_002,portrait man,0.2,4,997338199.jpg,0.263127,not_relevant
img_eval_002,portrait man,0.2,5,98438433.jpg,0.262620,not_relevant
img_eval_002,portrait man,0.3,1,98756125.jpg,0.270049,not_relevant
img_eval_002,portrait man,0.3,2,89779839.jpg,0.269365,not_relevant
img_eval_002,portrait man,0.3,3,407869068_10161463377388069_270481176185833064_n2.jpg,0.266338,relevant
img_eval_002,portrait man,0.3,4,997338199.jpg,0.263127,not_relevant
img_eval_002,portrait man,0.3,5,98438433.jpg,0.262620,not_relevant
