alpha,query,relevant_hits_in_top5,returned_pages,top1,top2,top3,top4,top5
0.0,decision trees,0,757,07 Αναζήτηση με αντιπαλότητα.pdf,03 Τυφλή αναζήτηση.pdf,07 Αναζήτηση με αντιπαλότητα.pdf,02 Επίλυση προβλημάτων.pdf,03 Τυφλή αναζήτηση.pdf
0.0,genetic algorithms,0,734,02 Επίλυση προβλημάτων.pdf,04 Ευριστική αναζήτηση.pdf,03 Τυφλή αναζήτηση.pdf,01 Εισαγωγή.pdf,03 Τυφλή αναζήτηση.pdf
0.0,neural networks,0,768,01 Εισαγωγή.pdf,02 Επίλυση προβλημάτων.pdf,15_AIML_SVM.pdf,04 Ευριστική αναζήτηση - παραδείγματα με λύσεις.pdf,15_AIML_SVM.pdf
0.0,logistic regression,0,742,01 Εισαγωγή.pdf,04 Ευριστική αναζήτηση.pdf,1810.04805v2.pdf,03 Τυφλή αναζήτηση.pdf,04 Ευριστική αναζήτηση.pdf
0.0,minmax pruning,2,735,07 Αναζήτηση με αντιπαλότητα.pdf,03 Τυφλή αναζήτηση.pdf,07 Αναζήτηση με αντιπαλότητα.pdf,02 Επίλυση προβλημάτων.pdf,03 Τυφλή αναζήτηση.pdf
0.0,ευριστική αναζήτηση,1,749,1810.04805v2.pdf,04 Ευριστική αναζήτηση.pdf,2302.13971v1.pdf,01 Εισαγωγή.pdf,03 Τυφλή αναζήτηση.pdf
0.0,τοπική αναζήτηση,0,732,1810.04805v2.pdf,04 Ευριστική αναζήτηση.pdf,01 Εισαγωγή.pdf,2302.13971v1.pdf,04 Ευριστική αναζήτηση.pdf
0.0,αναζήτηση με αντιπαλότητα,0,758,04 Ευριστική αναζήτηση.pdf,1810.04805v2.pdf,03 Τυφλή αναζήτηση.pdf,02 Επίλυση προβλημάτων.pdf,03 Τυφλή αναζήτηση.pdf
0.0,προβλήματα ικανοποίησης περιορισμών,1,755,1810.04805v2.pdf,06 Προβλήματα ικανοποίησης περιορισμών.pdf,02 Επίλυση προβλημάτων.pdf,04 Ευριστική αναζήτηση.pdf,2302.13971v1.pdf
0.0,τυφλή αναζήτηση,4,731,03 Τυφλή αναζήτηση.pdf,03 Τυφλή αναζήτηση.pdf,03 Τυφλή αναζήτηση.pdf,03 Τυφλή αναζήτηση.pdf,1810.04805v2.pdf
0.2,decision trees,0,627,07 Αναζήτηση με αντιπαλότητα.pdf,03 Τυφλή αναζήτηση.pdf,07 Αναζήτηση με αντιπαλότητα.pdf,02 Επίλυση προβλημάτων.pdf,03 Τυφλή αναζήτηση.pdf
0.2,genetic algorithms,0,638,02 Επίλυση προβλημάτων.pdf,04 Ευριστική αναζήτηση.pdf,03 Τυφλή αναζήτηση.pdf,01 Εισαγωγή.pdf,03 Τυφλή αναζήτηση.pdf
0.2,neural networks,0,655,01 Εισαγωγή.pdf,02 Επίλυση προβλημάτων.pdf,15_AIML_SVM.pdf,04 Ευριστική αναζήτηση - παραδείγματα με λύσεις.pdf,15_AIML_SVM.pdf
0.2,logistic regression,0,632,01 Εισαγωγή.pdf,04 Ευριστική αναζήτηση.pdf,1810.04805v2.pdf,03 Τυφλή αναζήτηση.pdf,04 Ευριστική αναζήτηση.pdf
